pincode,official_stop,our_closest_stop,distance_m,match_status,our_display_name
"600083","Kumaran Nagar","","","NO_OUR_GEOCODE",""
"600084","Purasawalkam","","","NO_OUR_GEOCODE",""
"600084","Periamet","","","NO_OUR_GEOCODE",""
"600085","Kotturpuram","Kotturpuram","0.0","MATCHED","Kotturpuram, Zone 13 Adyar, Chennai, Tamil Nadu, 600085, India"
"600086","Gopalapuram","Gopalapuram","0.0","MATCHED","Gopalapuram, Zone 9 Teynampet, Chennai, Tamil Nadu, 600086, India"
"600087","Alwar Thirunagar","","","OFF_NO_GEOCODE",""
"600088","Adambakkam","Adambakkam","0.0","MATCHED","Adambakkam, Zone 13 Adyar, Chennai, Tamil Nadu, 600088, India"
"600090","Besant Nagar","Besant Nagar","0.0","MATCHED","Besant Nagar, Zone 13 Adyar, Chennai, Tamil Nadu, 600001, India"
"600090","Elliot's Beach","Besant Nagar","418.4","MATCHED","Besant Nagar, Zone 13 Adyar, Chennai, Tamil Nadu, 600001, India"
"600092","Koyambedu Bus Terminus","","","OFF_NO_GEOCODE",""
"600092","Koyambedu Market","MGR Nagar","11795.3","MATCHED","MGR Nagar, Ward 183, Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, 600041, India"
"600093","Saligramam","Thiruvanmiyur","10763.1","MATCHED","Thiruvanmiyur, Zone 13 Adyar, Chennai, Tamil Nadu, 600041, India"
"600093","Vadapalani","Thiruvanmiyur","9190.7","MATCHED","Thiruvanmiyur, Zone 13 Adyar, Chennai, Tamil Nadu, 600041, India"
"600094","Choolaimedu","Perungudi","10307.6","MATCHED","Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, India"
"600100","Anna Nagar East","Puzhal","7179.6","MATCHED","Puzhal, Exit (Puzhal) Chennai Bypass, Ward 25, Zone 3 Madhavaram, Mathavaram, Thiruvallur, Tamil Nadu, 600110, India"
"600101","Anna Nagar West","Kolathur","2870.6","MATCHED","Kolathur, Ward 65, Zone 6 Thiru. Vi. Ka. Nagar, Chennai, Tamil Nadu, 600001, India"
"600102","Anna Nagar East","Ambattur","7217.7","MATCHED","Cars India Maruti Suzuki Showroom, Arcot Road, CMWSSB Division 152, Zone 11 Valasaravakkam, Chennai, Ambattur, Thiruvallur, Tamil Nadu, 600116, India"
"600104","High Court","Thirumullaivoyal","17345.0","MATCHED","Thirumullaivoyal PHC, Chennai - Tiruttani - Renigunta Road, Ward 81, Zone 7 Ambattur, Poonamallee, Thiruvallur, Tamil Nadu, 600062, India"
"600104","Fort St. George","Thirumullaivoyal","17561.2","MATCHED","Thirumullaivoyal PHC, Chennai - Tiruttani - Renigunta Road, Ward 81, Zone 7 Ambattur, Poonamallee, Thiruvallur, Tamil Nadu, 600062, India"
"600106","Arumbakkam","Thiruvanmiyur","11574.7","MATCHED","Thiruvanmiyur, Zone 13 Adyar, Chennai, Tamil Nadu, 600041, India"
"600106","D.G. Vaishnav College","","","OFF_NO_GEOCODE",""
"600107","Koyambedu","Tirusulam","10697.9","MATCHED","Tirusulam, Grand Southern Trunk Road, CMWSSB Division 201, St. Thomas Mount Cantonment, Zone 12 Alandur, St.Thomas Mount-Pallavaram Cantonment Board, Alandur, Chennai, Tamil Nadu, 600027, India"
"600107","Nerkundram","Tirusulam","9653.4","MATCHED","Tirusulam, Grand Southern Trunk Road, CMWSSB Division 201, St. Thomas Mount Cantonment, Zone 12 Alandur, St.Thomas Mount-Pallavaram Cantonment Board, Alandur, Chennai, Tamil Nadu, 600027, India"
"600108","Broadway","Sembakkam","23671.6","MATCHED","Medavakkam - Mambakkam - Sembakkam Road, Skylab Avenue, Sithalapakkam, Sholinganallur, Chennai, Tamil Nadu, 600100, India"
"600108","Parrys Corner","Sembakkam","23396.5","MATCHED","Medavakkam - Mambakkam - Sembakkam Road, Skylab Avenue, Sithalapakkam, Sholinganallur, Chennai, Tamil Nadu, 600100, India"
"600112","Choolai","Poonamallee","6111.6","MATCHED","EVR Periyar Salai, Ward 105, Zone 8 Anna Nagar, Chennai, Tamil Nadu, 600001, India"
"600113","Tidel Park","Vandalur","4970.0","MATCHED","Velachery Main Road, CMWSSB Division 188, Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, 601100, India"
"600113","TTTI Taramani","","","OFF_NO_GEOCODE",""
"600118","Kodungaiyur","Navalur","32102.4","MATCHED","Navalur, Rajiv Gandhi Salai, Navalur, Tiruporur, Chengalpattu, Tamil Nadu, 603103, India"
"600118","Erukkancheri","Navalur","30756.0","MATCHED","Navalur, Rajiv Gandhi Salai, Navalur, Tiruporur, Chengalpattu, Tamil Nadu, 603103, India"
"600119","Sholinganallur","Sholinganallur","0.0","MATCHED","Sholinganallur, Chennai, Tamil Nadu, India"
"600119","Semmencherry","","","OFF_NO_GEOCODE",""
"600120","Nandiambakkam","","","OFF_NO_GEOCODE",""
"600120","Minjur","Thoraipakkam","37685.3","MATCHED","Pallavaram - Thoraipakkam Road, Ward 189, Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, 600096, India"
"600122","Mangadu","Palavakkam","15638.5","MATCHED","Palavakkam, Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, 600041, India"
"600122","Kundrathur","","","OFF_NO_GEOCODE",""
"600126","Thalambur","ECR Road","15844.5","MATCHED","Thiruvanmiyur ECR Moffusil Bus stop, East Coast Road, PTC Colony, CMWSSB Division 182, Zone 13 Adyar, Chennai, Tamil Nadu, 600041, India"
"600126","Navalur Junction","","","OFF_NO_GEOCODE",""
"600130","Kelambakkam","Vengaivasal","13201.6","MATCHED","Mambakkam - Vengaivasal Road, Noothanchery, Tambaram, Chengalpattu, Tamil Nadu, 600126, India"
"600130","OMR feeder","","","OFF_NO_GEOCODE",""
